food	serving_size	serving_units	price_per_unit	calories	total_fat	sat_fat	trans_fat	polyunsaturated_fat	monounsaturated_fat	total_carbs	dietary_fiber	sugars	protein	vitamin_A	vitamin_B6	vitamin_C	vitamin_D	vitamin_K	sodium	potassium	calcium	magnesium	iron	cholesterol
Chicken Breast	4	oz	0.186875	120	1.5	0	0			0			26	0		2			3		0		4	65
wild sockeye salmon	1	oz	0.875	42.8	2	0.3	0	0.4	0.6	0	0	0	6.1	1	4	0	70		1	3	2	2	1	17.9
Avocado Oil	15	mL	0.008245	125	14	2	0			0			0						0					
Salt	18	g	0	0	0	0	0	0	0	0	0		0						290					
Pepper	6.9	g	0	17	0.2	0.1	0	0.1	0.1	4.4	1.7	0	0.7								3	3		
Chicken Broth	240	mL	0.002265541786	5	0	0	0			0	0	0	1	0		0			5		0		0	5
Steal Cut Oats	36	g	0.002469179351	140	2.5	0.5	0			25	4	0	4						0	2	0		6	0
Apple	182	g	0.003604497354	95	0.3	0.1	0	0.1	0	25	4.4	19	0.5	1	5	14	0		0	5	1	2	1	0
Orange	154	g	0.002147266314	70	0	0	0			21	7	14	1	2		130			0		6		2	0
Banana	118	g	0.001461640212	105	0.4	0.1	0	0.1	0	27	3.1	14	1.3	1	20	17	0		0	12	0	8	1	0
Pinapple	112	g	0.002645549304	50	0	0	0			13	1	10	1			35			0	2		45		
Blueberries	148	g	0.01565696649	85	0.5	0	0	0.2	0.1	21	3.6	15	1.1	1	5	24	0		0	3	0	0	2	0
Micro Greens	85	g	0.006598324515	20	0	0	0			4	1	1	1	130		60			6		6		8	0
Spinash	85	g	0.003518518519	25	0	0	0			3	2	0	2	45		25	0	340	3	10	6		10	0
Broccolli	85	g	0.004402557319	30	0	0	0			4	2	1	3	15		90	0	0	1	6			6	0
Bell Pepper (mini)	80	g	0.008509850262	30	0.1	0	0			7	1	5	1	20		190	0		0		0		0	0
Sweet potatoe	130	g	0.00253968254	130	0	0	0			33	4	7	2	440		30			2		2		2	0
Potato	148	g	0.001175044092	110	0	0	0			26	2	1	3		12	30	0		0	13	2		6	0
Lentil soup	245	g	0.003719546215	180	5	1	0			25	6	3	8	4		2			12		2		15	0
Lentil vegetable Soup	245	g	0.003719546215	160	4	0.5	0			24	6	5	7	10		6			14		6		15	0
Almonds	30	g	0.009691358025	180	16	1	0	4	10	6	3	1	6						5	4	6		6	0
Peanuts	28	g	0.002641093474	170	14	2	0	4.5	7	5	0	1	7				0		0	4	0		8	0